DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
82120,"River Rouge, School District of the City of",53.5,4.39,0.75,1.29,,1,2,,3,9,7.53,33.51,8.8,2.2,1,0.88,3.27,,0.4,,2,,,
82130,Romulus Community Schools,130.32,4.4,0.2,6,,6,2,2.5,15,20.7,2,79.87,20.5,2.6,5.9,13.77,5,0.5,2,,2,,,1
82140,South Redford School District,142.9,16.5,,4,1,,2,2,11.17,20.35,8.68,68.19,8.55,1.5,13.45,10,4,,,,2,,,
82150,Taylor School District,347.19,64.6,0.5,13,2,8,5,3,32.35,62.86,60.24,287.98,81.6,1,16.7,52,22.15,4.8,6,,6.9,,,
82155,Trenton Public Schools,111.59,2.16,2,4.5,1.67,,4,2.5,9.2,12.56,10.75,27.34,23.5,,18.7,,4,22.65,1.25,,3,,,0.9
82160,Wayne-Westland Community School District,507.5,57.5,7.8,19,3,0.49,6,6.19,31.1,80.91,25.77,268.88,59.9,28,39.3,120.4,64.4,15.5,15.5,,16.9,,,3
82170,"Wyandotte, School District of the City of",149.71,40.9,3,3.67,,2,3.9,4,13.1,23.49,2.5,98.85,91.53,2.94,11.73,161.5,21.3,6,7.43,,2,,,
82180,Flat Rock Community Schools,90.8,6.24,2,3.2,,3,3,1,8.75,15.81,19.41,63.63,8.5,,0.5,3,3.75,2,2,,,,,
82230,Crestwood School District,159.96,14.3,,5.6,0.25,,2,1,8.01,25.85,6.49,87.77,11.95,7.75,2.9,18.5,4.57,,1.95,,6.49,,,1
82240,Westwood Community School District,84.4,19.91,1.5,2,1,,2,2,12,7.01,2.6,12.01,2,11,4.5,2.4,2,,0.8,,2.5,,,
82250,Ecorse Public Schools,46.8,5,,,,,3.05,2,3.95,6.79,2.49,26.58,4,,,,2,,3,,,,,
82290,Gibraltar School District,144.1,6,2.18,5,2,,4,6.5,8.45,13.46,7.15,71.48,17.9,1,3,5.5,3,1.8,5,,2.55,,,0.2
82300,Grosse Ile Township Schools,83.86,7.2,0.03,3.3,1,,2.9,1,5.1,12.64,5.21,33.99,6,2.86,2,4.43,2,,2.28,,0.14,,,
82320,"Harper Woods, The School District of the City of",63.5,6,,3,,,2,,11.9,8.14,14,27.26,10,2,4.5,,2,1,1,,0.11,,,
82340,Huron School District,112.8,1.5,,4.75,1,,3.01,0.98,8.02,12.17,9.95,66.16,5,13.4,3.5,12.53,1.6,,2.5,,1,,,
82365,Woodhaven-Brownstown School District,232.2,13.6,,7,4,,1.8,4.1,12.7,26.2,10.2,84.5,18.9,9.9,27,21.8,11,,6.4,,5.5,,,
82390,Northville Public Schools,318.39,10.78,0.04,9,1.5,,3,1.35,18,42.96,31.07,125.63,45,9,16.5,122.68,15.8,5.6,,,5,,,1
82400,Riverview Community School District,117.74,1,,5,1,,1,1,7,12,5,35.49,10.09,2.74,2.43,6,2.59,,1,,3.21,,,
82405,Southgate Community School District,187.12,9.9,2.1,5,1.6,,1.9,,17.51,30.06,3,81.7,11.4,37.43,7.2,38,22.5,34,3,,5.6,,,1
82430,Van Buren Public Schools,219.25,4.22,3,5,7,1,4.9,3.49,15.5,23.56,16.89,122.41,24,10,2,37.4,14.8,1,1,,2.1,,,0.5
82700,Detroit Achievement Academy,4,,,,,,,,1,1,2,,,,,,,,,,1,,,
82701,University Preparatory Science and Math (PSAD),74.5,13,2,1.5,,,0.5,1,24.05,2.5,0.85,5,4,,,,2,,,,,,,
