DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
14020,Dowagiac Union School District,107.72,18.96,2,4.19,1,4.2,3.7,1,4.2,16.22,21.19,44.55,7.59,5.19,,7.2,,,1,,,,,
14030,Edwardsburg Public Schools,107.98,6.98,1,3,2,,1,1,7.05,15.81,6.43,62.77,6.17,4.83,2,0.51,3.3,,1,,2.95,,,
14050,Marcellus Community Schools,38.68,2,1.25,1,,,1.01,2,4.16,4.95,3,21.17,2,,1,,1,,,,,,,0.25
15000,Charlevoix-Emmet ISD,5,1.56,5,,,1.92,9.27,1,14.5,25.72,17.06,37.22,12,4,22.2,27,22.93,2,,,1.35,,,
15010,Beaver Island Community School,8.59,0.4,0.16,0.83,,,1,,0.09,1.75,0.71,2.29,1.16,,,0.6,,,,,0.12,,,1
15020,Boyne City Public Schools,64.72,15.56,,2.3,,1,1.05,1,8.9,6.31,3.37,36.86,3.8,3.6,,4.52,,,2.8,,2.1,,,0
15030,Boyne Falls Public School District,11.01,2.53,0.06,0.6,,,1.3,,0.6,1.42,1.67,6.76,0.12,1.88,,,,,0.5,,0.59,,,
15050,Charlevoix Public Schools,56.9,1.7,1,2,,,1,,5,5.5,9.5,22.27,6,1,1,,,3.5,2,,,,,1
15060,East Jordan Public Schools,50.17,4.87,,2,,,3,1,2,5,6.78,17.17,2.25,2.08,,1.06,,,1,,,,,
15901,Concord Academy Boyne,16.7,1.5,,,,,,,1,1,,,,,,,,,,,,,,1
15902,Northwest Academy,7.51,,,,,,1,,,2,4,2,1.66,,,,,,,,0.51,,,
